mass, radius, density
4.932791336695054e+27 13559850.810000008 9977580.493664745
5.083423521361458e+27 13768431.810000008 9976907.345870584
5.23630558857747e+27 13977012.810000008 9976224.285903312
5.39143661854685e+27 14185593.810000008 9975531.316353437
5.54881567809163e+27 14394174.81000001 9974828.439848771
5.708441820660741e+27 14602755.81000001 9974115.65905441
5.87031408633896e+27 14811336.81000001 9973392.976672702
6.034431501855993e+27 15019917.81000001 9972660.39544324
6.200793080596026e+27 15228498.81000001 9971917.918142833
6.369397822606573e+27 15437079.81000001 9971165.547585487
6.540244714608452e+27 15645660.81000001 9970403.286622379
6.71333273000486e+27 15854241.81000001 9969631.13814184
6.888660828891668e+27 16062822.81000001 9968849.10506933
7.066227958066919e+27 16271403.81000001 9968057.190367412
7.246033051040609e+27 16479984.810000012 9967255.397035744
7.42807502804549e+27 16688565.810000012 9966443.728111032
7.612352796046531e+27 16897146.81000001 9965622.186667029
7.798865248751725e+27 17105727.81000001 9964790.775814496
7.987611266622465e+27 17314308.81000001 9963949.498701185
8.178589716883992e+27 17522889.810000014 9963098.358511815
8.371799453536238e+27 17731470.810000014 9962237.358468046
8.567239317364831e+27 17940051.810000014 9961366.50182845
8.764908135951551e+27 18148632.810000014 9960485.791888488
8.964804723686149e+27 18357213.810000014 9959595.231980495
9.166927881776796e+27 18565794.810000014 9958694.825473638
9.371276398262155e+27 18774375.810000014 9957784.5757739
9.577849048022073e+27 18982956.810000014 9956864.486324051
9.786644592789862e+27 19191537.810000014 9955934.560603622
9.997661781163592e+27 19400118.810000014 9954994.802128876
1.0210899348617777e+28 19608699.810000014 9954045.214452785
1.0426356017516138e+28 19817280.810000014 9953085.801165
1.0644030497122415e+28 20025861.810000014 9952116.565891817
1.0863921483613693e+28 20234442.810000014 9951137.512296168
1.1086027660092124e+28 20443023.810000014 9950148.64407757
1.131034769659738e+28 20651604.810000014 9949149.964972112
1.153688025011953e+28 20860185.810000014 9948141.478752425
1.1765623964611217e+28 21068766.810000014 9947123.189227639
1.199657747100088e+28 21277347.810000014 9946095.100243371
1.2229739387205645e+28 21485928.810000014 9945057.215681685
1.2465108318143762e+28 21694509.810000017 9944009.53946107
1.2702682855748906e+28 21903090.810000017 9942952.075536404
1.2942461578982202e+28 22111671.810000017 9941884.82789892
1.3184443053846511e+28 22320252.810000017 9940807.800576186
1.342862583339952e+28 22528833.810000017 9939720.997632064
1.367500845776739e+28 22737414.810000017 9938624.423166685
1.3923589454158766e+28 22945995.810000017 9937518.081316417
1.4174367336878352e+28 23154576.810000017 9936401.976253834
1.4427340607340846e+28 23363157.810000017 9935276.112187672
1.468250775408607e+28 23571738.810000017 9934140.493362816
1.4939867252791212e+28 23780319.810000017 9932995.124060255
1.5199417566286805e+28 23988900.810000017 9931840.00859705
1.5461157144571215e+28 24197481.810000017 9930675.151326308
1.5725084424823808e+28 24406062.810000017 9929500.556637134
1.5991197831420988e+28 24614643.810000017 9928316.228954617
1.6259495775950977e+28 24823224.810000017 9927122.172739781
1.6529976657227326e+28 25031805.810000017 9925918.39248956
1.6802638861306225e+28 25240386.810000017 9924704.892736752
1.7077480761499312e+28 25448967.810000017 9923481.678049993
1.7354500718390627e+28 25657548.810000017 9922248.753033727
1.7633697079851676e+28 25866129.81000002 9921006.12232816
1.7915068181055786e+28 26074710.81000002 9919753.79060923
1.8198612344496255e+28 26283291.81000002 9918491.762588564
1.8484327879998321e+28 26491872.81000002 9917220.043013453
1.8772213084739847e+28 26700453.81000002 9915938.636666816
1.9062266243262297e+28 26909034.81000002 9914647.548367146
1.9354485627490445e+28 27117615.81000002 9913346.782968497
1.9648869496747287e+28 27326196.81000002 9912036.345360424
1.9945416097770088e+28 27534777.81000002 9910716.240467966
2.024412366472727e+28 27743358.81000002 9909386.473251592
2.054499041923474e+28 27951939.81000002 9908047.048707176
2.0848014570372773e+28 28160520.81000002 9906697.971865948
2.1153194314702905e+28 28369101.81000002 9905339.24779446
2.1460527836283976e+28 28577682.81000002 9903970.881594554
2.1770013306690144e+28 28786263.81000002 9902592.87840331
2.2081648885027773e+28 28994844.81000002 9901205.243393019
2.239543271795176e+28 29203425.81000002 9899807.981771134
2.2711362939684393e+28 29412006.81000002 9898401.098780237
2.3029437672031535e+28 29620587.81000002 9896984.599697994
2.334965502440078e+28 29829168.81000002 9895558.489837121
2.367201309381905e+28 30037749.810000025 9894122.774545336
2.3996509964950593e+28 30246330.810000025 9892677.459205322
2.432314371011333e+28 30454911.810000025 9891222.54923469
2.465191238930052e+28 30663492.810000025 9889758.050085932
2.4982814050194544e+28 30872073.810000025 9888283.967246376
2.531584672818732e+28 31080654.810000025 9886800.306238158
2.5651008446399306e+28 31289235.810000025 9885307.072618164
2.5988297215697083e+28 31497816.810000025 9883804.271978
2.6327711034710533e+28 31706397.810000025 9882291.909943942
2.6669247889854084e+28 31914978.810000025 9880769.992176896
2.701290575534445e+28 32123559.810000025 9879238.524372358
2.7358682593218915e+28 32332140.810000025 9877697.51226036
2.7706576353353646e+28 32540721.810000025 9876146.961605445
2.8056584973486197e+28 32749302.810000025 9874586.8782066
2.8408706379230993e+28 32957883.810000025 9873017.26789723
2.87629384840996e+28 33166464.810000025 9871438.13654511
2.9119279189522683e+28 33375045.810000025 9869849.490052337
2.947772638486491e+28 33583626.810000025 9868251.334355282
2.9838277947449733e+28 33792207.810000025 9866643.675424553
3.020093174257431e+28 34000788.810000025 9865026.519264948
3.05656856235337e+28 34209369.810000025 9863399.871915402
3.0932537431636075e+28 34417950.810000025 9861763.739448953
3.13014849962286e+28 34626531.810000025 9860118.127972687
3.167252613471237e+28 34835112.810000025 9858463.043627694
3.2045658652565196e+28 35043693.810000025 9856798.492589021
3.242088034336187e+28 35252274.810000025 9855124.481065633
3.2798188988794447e+28 35460855.810000025 9853441.015300352
3.317758235869193e+28 35669436.810000025 9851748.101569816
3.355905821104251e+28 35878017.810000025 9850045.746184442
3.3942614292013854e+28 36086598.810000025 9848333.955488361
3.4328248335971927e+28 36295179.81000003 9846612.73585938
3.4715958065506917e+28 36503760.81000003 9844882.093708932
3.5105741191448702e+28 36712341.81000003 9843142.035482023
3.5497595412891346e+28 36920922.81000003 9841392.567657199
3.589151841721364e+28 37129503.81000003 9839633.696746472
3.628750788010106e+28 37338084.81000003 9837865.429295298
3.6685561465566034e+28 37546665.81000003 9836087.771882504
3.7085676825971024e+28 37755246.81000003 9834300.73112025
3.7487851602048506e+28 37963827.81000003 9832504.313653981
3.7892083422925463e+28 38172408.81000003 9830698.526162375
3.8298369906141398e+28 38380989.81000003 9828883.375357287
3.8706708657673663e+28 38589570.81000003 9827058.867983704
3.911709727195914e+28 38798151.81000003 9825225.010819694
3.952953333191591e+28 39006732.81000003 9823381.810676351
3.994401440896296e+28 39215313.81000003 9821529.274397753
4.036053806304831e+28 39423894.81000003 9819667.408860896
4.077910184266707e+28 39632475.81000003 9817796.22097566
4.119970328488363e+28 39841056.81000003 9815915.71768474
4.1622339915359e+28 40049637.81000003 9814025.905963603
4.204700924836852e+28 40258218.81000003 9812126.792820433
4.247370878682832e+28 40466799.81000003 9810218.385296084
4.290243602231448e+28 40675380.81000003 9808300.690464018
4.3333188435092276e+28 40883961.81000003 9806373.715430256
4.376596349413253e+28 41092542.81000003 9804437.467333328
4.420075865713917e+28 41301123.81000003 9802491.953344215
4.463757137057235e+28 41509704.81000003 9800537.180666298
4.507639906966753e+28 41718285.81000003 9798573.156535301
4.551723917846931e+28 41926866.81000003 9796599.888219243
4.596008910983986e+28 42135447.81000003 9794617.38301837
4.640494626549773e+28 42344028.81000003 9792625.64826512
4.685180803603309e+28 42552609.81000003 9790624.691324044
4.730067180093193e+28 42761190.81000003 9788614.519591782
4.775153492860531e+28 42969771.81000003 9786595.140496977
4.820439477640797e+28 43178352.81000003 9784566.56150024
4.865924869066362e+28 43386933.81000003 9782528.79009408
4.911609400669482e+28 43595514.81000003 9780481.833802858
4.957492804883761e+28 43804095.81000003 9778425.70018273
5.0035748130472995e+28 44012676.81000003 9776360.396821585
5.049855155405458e+28 44221257.81000003 9774285.931338996
5.096333561112093e+28 44429838.81000003 9772202.311386153
5.143009758233046e+28 44638419.81000004 9770109.544645816
5.189883473749075e+28 44847000.81000004 9768007.638832256
5.23695443355647e+28 45055581.81000004 9765896.601691188
5.284222362471726e+28 45264162.81000004 9763776.440999724
5.331686984232671e+28 45472743.81000004 9761647.164566312
5.379348021501278e+28 45681324.81000004 9759508.780230675
5.4272051958667065e+28 45889905.81000004 9757361.29586376
5.475258227847161e+28 46098486.81000004 9755204.719367672
5.523506836892536e+28 46307067.81000004 9753039.05867561
5.571950741387904e+28 46515648.81000004 9750864.32175183
5.620589658654421e+28 46724229.81000004 9748680.51659156
5.6694233049536e+28 46932810.81000004 9746487.651220959
5.718451395488554e+28 47141391.81000004 9744285.733697046
5.767673644407764e+28 47349972.81000004 9742074.77210765
5.817089764806263e+28 47558553.81000004 9739854.77457134
5.8666994687298585e+28 47767134.81000004 9737625.749237377
5.916502467176595e+28 47975715.81000004 9735387.704285637
5.966498470099625e+28 48184296.81000004 9733140.647926562
6.016687186410026e+28 48392877.81000004 9730884.588401102
6.0670683239797255e+28 48601458.81000004 9728619.533980649
6.117641589643358e+28 48810039.81000004 9726345.492966972
6.168406689201421e+28 49018620.81000004 9724062.473692156
6.219363327423087e+28 49227201.81000004 9721770.484518554
6.270511208048624e+28 49435782.81000004 9719469.533838704
6.321850033792043e+28 49644363.81000004 9717159.63007529
6.37337950634425e+28 49852944.81000004 9714840.781681059
6.425099326374677e+28 50061525.81000004 9712512.997138768
6.477009193535339e+28 50270106.81000004 9710176.284961125
6.529108806462912e+28 50478687.81000004 9707830.653690722
6.581397862780876e+28 50687268.81000004 9705476.111899968
6.633876059103454e+28 50895849.81000004 9703112.668191032
6.686543091037638e+28 51104430.81000004 9700740.331195781
6.739398653185557e+28 51313011.81000004 9698359.109575707
6.792442439148411e+28 51521592.81000004 9695969.012021879
6.845674141527831e+28 51730173.81000004 9693570.047254859
6.899093451930147e+28 51938754.81000004 9691162.224024653
6.952700060967749e+28 52147335.81000004 9688745.551110648
7.006493658262909e+28 52355916.81000004 9686320.03732153
