mass, radius, density
1.6887681526170e+32 6.0223051120371e+11 1.4842539369473e-01
1.7169554168121e+32 6.0622067148629e+11 1.4765014556096e-01
1.7447376760017e+32 6.1029042332769e+11 1.4818376579522e-01
1.7704308953703e+32 6.1408433052083e+11 1.5136183024570e-01
1.7984671840755e+32 6.1778416043651e+11 1.5312544032033e-01
1.8261876581843e+32 6.2153901216789e+11 1.5465954805326e-01
1.8536770746656e+32 6.2514239467424e+11 1.5926315263075e-01
1.8798702608693e+32 6.2853817437543e+11 1.6100852237639e-01
1.9080746345776e+32 6.3194794658373e+11 1.5864164713341e-01
1.9361017295005e+32 6.3547416594540e+11 1.5735758457937e-01
1.9640884208643e+32 6.3896332537278e+11 1.5727002736951e-01
1.9900647393791e+32 6.4228941290137e+11 1.5739022738899e-01
2.0179554855067e+32 6.4556634451143e+11 1.5802006487431e-01
2.0459122621857e+32 6.4891516749161e+11 1.5877751503333e-01
2.0738188976524e+32 6.5221623663448e+11 1.5942021498315e-01
2.0998143458087e+32 6.5536099341873e+11 1.5975831556483e-01
2.1277649805057e+32 6.5847328321408e+11 1.5982058133390e-01
2.1557028901945e+32 6.6166268341443e+11 1.6024389366267e-01
2.1837741925318e+32 6.6482698002489e+11 1.5995935076433e-01
2.2117421705747e+32 6.6797060596501e+11 1.5948141288482e-01
2.2399267149250e+32 6.7110673572646e+11 1.5836451004744e-01
2.2679476032284e+32 6.7424164993038e+11 1.5694669369111e-01
2.2940116142490e+32 6.7725255288920e+11 1.5611725274852e-01
2.3218663566911e+32 6.8023425747693e+11 1.5619794732886e-01
2.3497265043709e+32 6.8327550689598e+11 1.5747227431438e-01
2.3775860770259e+32 6.8626641391671e+11 1.5870085601882e-01
2.4056425511435e+32 6.8922936250953e+11 1.5879851347969e-01
2.4336332217904e+32 6.9217914260947e+11 1.5813935626019e-01
2.4616132412819e+32 6.9510828421484e+11 1.5790047447299e-01
2.4897157303891e+32 6.9802894230578e+11 1.5702737370856e-01
2.5178533406507e+32 7.0095776236147e+11 1.5528212049773e-01
2.5459421733334e+32 7.0389340051654e+11 1.5362996721034e-01
2.5740060837066e+32 7.0682831279585e+11 1.5238883587104e-01
2.6021321954023e+32 7.0976659672334e+11 1.5095186206026e-01
2.6302457530038e+32 7.1271356746678e+11 1.4926359791265e-01
2.6582103104611e+32 7.1565250825085e+11 1.4843614855933e-01
2.6861656080199e+32 7.1856742189876e+11 1.4843227344375e-01
2.7142040708825e+32 7.2146663348400e+11 1.4802745910942e-01
2.7422224643381e+32 7.2435712888121e+11 1.4728318184900e-01
2.7701454264173e+32 7.2722753929391e+11 1.4713231915718e-01
2.7982143590550e+32 7.3008353348422e+11 1.4670944272516e-01
2.8262997790666e+32 7.3294195220613e+11 1.4544277740784e-01
2.8541752756242e+32 7.3578342577744e+11 1.4517223749537e-01
2.8822122082969e+32 7.3860356548166e+11 1.4513928441052e-01
2.9121771207476e+32 7.4151143566063e+11 1.4465913874337e-01
2.9402193760192e+32 7.4440725161038e+11 1.4414538314767e-01
2.9683918891988e+32 7.4721246184302e+11 1.4255553655422e-01
2.9964268530084e+32 7.5002701305324e+11 1.4101348622147e-01
